,title
0,--ingen--
1,aalesundshandelsogsoefartstidende
2,aamliavisa
3,aandalsnesavis
4,aasanetidende
5,aasavis
6,abc
7,adresseavisen
8,adressebladet
9,aftenbladet
10,aftenposten
11,aftenpostenjunior
12,agder
13,agderfolkebladarendal
14,agderfolkebladflekkefjord
15,agderposten
16,agdertidend
17,akerogloerenskogavis
18,akersavisgroruddalen
19,akershus
20,akershusamtstidende
21,akershusarbeiderblad
22,akershusfolkebladdroebak
23,akershuspostenlillestroemnitten
24,akershuspostenoslonittentjue
25,akershussocialdemokrat
26,akersposten
27,akersvel
28,alarm
29,altaposten
30,amagasinet
31,amerikaamerica
32,andoepostennittentretten
33,andoyaavis
34,andoyposten
35,angrep
36,arbeideravisa
37,arbeiderbladet
38,arbeiderbladetfram
39,arbeiderbladetoslo
40,arbeiderenoslonittentjueni
41,arbeiderforeningernesblad
42,arbeideridrett
43,arbeiderpolitikken
44,arbeidet
45,arbeidetsrett
46,arendalstidende
47,arendalstidendemag
48,askeravisen
49,askerogbaerumsbudstikke
50,askoytidend
51,askoyvaeringen
52,assu
53,auraavis
54,austagderblad
55,austland
56,avisahemnes
57,avisalofoten
58,avisanordland
59,avisenoslo
60,avvir
61,baerum
62,baerumogaskersblad
63,baerumsavisen
64,baerumsbladstabekk
65,bergensadressecontoirsefterretninger
66,bergensaftenbladattenaatti
67,bergensaftenbladbergenattenattini
68,bergensannoncetidende
69,bergensarbeiderblad
70,bergensavisen
71,bergenskeblade
72,bergensstiftstidende
73,bergenstidende
74,birkenesavisa
75,bladet
76,bladetharstad
77,boblad
78,bodotidende
79,boendernesblad
80,bomlonytt
81,bondebladet
82,bratsbergdemokraten
83,breidablik
84,breviksdagblad
85,breviksposten
86,bronnoysundsavis
87,bruvik
88,budstikkaforaskerogb
89,budstikkasoegne
90,budstikken
91,budstikkesoegne
92,buskeruddagblad
93,buskerudogvestfold
94,buskerudsamtstidendedrammen
95,buskerudsblad
96,byavisadrammen
97,byavisafredrikstad
98,byavisamoss
99,byavisasandefjord
100,byavisasarpsborg
101,byavisatonsberg
102,byavisatrondheim
103,bygdanytt
104,bygdapostenforhjelme
105,bygdebladet
106,bygdebladetrandaberg
107,bygdefolketporsgrunn
108,bygdenesblad
109,bygdeposten
110,christianiaintelligentssedler
111,christianianyheds
112,christianiaposten
113,christiansandsadresse
114,christianssandsposten
115,christianssandstidende
116,correspondentenskien
117,daemring
118,dagbladet
119,dagenbergen
120,dagenmagazinet
121,dagensnaeringsliv
122,dagensnytt
123,daggry
124,dagningen
125,dagogtid
126,dagsavisatrondheim
127,dagsavisen
128,dagsavisenarbeiderbladet
129,dagsavisenostfold
130,dagsnytt
131,dagspostenbillednummer
132,dagspostentroenderen
133,dagspostentrondheim
134,dalanetidende
135,dalegudbrandtretten
136,decorahposten
137,demokraten
138,den17demai
139,denconstitutionelle
140,denfrimodige
141,dennorskerigstidende
142,dennyesocialdemokraten
143,dennyetidsarpsborg
144,detnorskenationalblad
145,deutschepolarzeitung
146,dittoslofrogner
147,dittoslogamleoslo
148,dittoslogrunerloekkasagene
149,dittoslosthanshaugen
150,doelenesblad
151,dolabladet
152,dolen
153,drammensblad
154,drammenstidende
155,drammenstidendedrammenattenfoertifem
156,drammenstidendeogbus
157,drammenstidendeogbuskerudblad
158,drangedalsposten
159,driva
160,droebakdagblad
161,duluthskandinav
162,dunderlandsdoelen
163,egersundsposten
164,eidsiva
165,eidsvoldblad
166,eidsvollarbeiderblad
167,eidsvollullensakerbl
168,eikeravisa
169,eikerbladet
170,enebakkavis
171,express
172,faedrelandet
173,faedrelandetogemigranten
174,faedrelandsvennen
175,fanaposten
176,farsundsavis
177,fedraheimen
178,fergusfallsukeblad
179,finansavisen
180,finmarken
181,finmarkensamtstidendevadsoe
182,finmarkensognordlandenesamtstidende
183,finnmarkdagblad
184,finnmarken
185,finnmarkfolkebladhammerfest
186,finnmarkfolkebladvadsoe
187,finnmarkfremtid
188,finnmarknytt
189,finnmarksposten
190,finnmarktidende
191,firda
192,firdabergen
193,firdafolkeblad
194,firdaposten
195,firdatidend
196,fiskaren
197,fiskeribladet
198,fiskeribladetfiskare
199,fiskeribladettjue
200,fjellljom
201,fjordabladet
202,fjordenestidende
203,fjordingen
204,fjuken
205,flekkefjordsposten
206,foerstemai
207,folden
208,folkebladetforsognogfjordane
209,folkebladetkristiansund
210,folkebladetnotodden
211,folket
212,folketankenrisor
213,folketidendetrondheimattennittien
214,folketsdagblad
215,folketsframtid
216,folketsfrihet
217,folketskravtromsoe
218,folketsroestaskim
219,folketstidende
220,folkeviljen
221,folloarbeiderbladdroebak
222,folloskinittentjueni
223,follosocialdemokrat
224,forfattigogrik
225,forstadsposten
226,fosensblad
227,fosnafolket
228,framgang
229,framstigvoldanittenti
230,framstigvoldanittentretten
231,framsyn
232,framtida
233,framtidinord
234,fredrikshaldsavis
235,fredrikshaldstilskuer
236,fredriksstadblad
237,fredriksstadtilskuer
238,fredrikstaddagblad
239,fredriksten
240,fremadusa
241,fremover
242,fremtiden
243,fremtidenmagasinet
244,friheten
245,friheten2
246,frihetensvolvaer
247,frihetskampen
248,frisprog
249,frittarbeid
250,frittfolkoslo
251,frolendingen
252,frostingen
253,fylkesavisen
254,fylkesavisenvestfoldblad
255,fylkestidendeforsognogfjordane
256,fylket
257,fylkingenkristiansand
258,gaula
259,gauldalsposten
260,germaneren
261,gjallarhorn
262,gjengangeren
263,gjengangeren2
264,gjesdalbuen
265,gjoviksblad
266,glaamdalen
267,glaamdalenodal
268,glaamdalensolor
269,glomdalensarbeiderblad
270,glommen
271,glommendalen
272,glommendalenssocialdemokrat
273,grannar
274,grenda
275,grenmar
276,grimstadadressetiden
277,grimstadposten
278,groemstadposten
279,gudbrandsdalensblad
280,gudbrandsdalensfolkebladgjoevik
281,gudbrandsdalenssocialdemokrat
282,gudbrandsdalfolkeblad
283,gudbrandsdoelen
284,gudbrandsdoelenlillehammer
285,gudbrandsdolendagnin
286,gulatidend
287,haalogaland
288,hadeland
289,halden
290,haldenarbeiderblad
291,hallingdolen
292,hamararbeiderblad
293,hamardagblad
294,hamarsbudstikke
295,hamarstiftstidendeatten
296,hamarstiftstidendenittentjueni
